LANDIS_test,LANDIS_traits,LandR,KNN,CASFRI,Latin_full,EN_generic_short,EN_generic_full,Leading,Notes,Boreal,Broadleaf,Type,PSP,ApproxFBP,FuelClass,BC_Forestry,AB_forestry,MB_forestry,NFI,QCPSP,CanfiCode,CanfiNote
,,Celt_occ,,Celt occi,Celtis occidentalis,,,,,,TRUE,Deciduous,,,,,,,CELT_OCC,,1500,other hardwood code
,,Cerc_can,,Cerci cana,Cercis canadensis,,,,,,TRUE,Deciduous,,,,,,,CERC_CAN,,1500,other hardwood code
,,Cham_law,,Cham laws,Chamaecyparis lawsoniana,,,,,,FALSE,Conifer,,,,,,,CHAM_LAW,,1000,generic cham code
chamnoot,CHAM.NOO,Cham_noo,Cham_Noo,Cham noot,Chamaecyparis nootkatensis,,,,,,FALSE,Conifer,yellow cedar,,,Yc,,,CHAM_NOO,,1001,
,,,,,Cornus alternifolia,,Pagoda dogwood,,,,TRUE,Deciduous,pagoda dogwood,,,,,,CORN_ALT,COA,1500,other hardwood code
,,Corn_nut,,Corn nutt,Cornus nuttallii,,,,,,TRUE,Deciduous,,,,,,,CORN_NUT,,1500,other hardwood code
,,Crat_sp,Crat_Spp,Crat spp,Crataegus spp,,,,,,TRUE,Deciduous,,,,,,,CRAT_SP,,3910,
fagugran,FAGU.GRA,Fagu_gra,Fagu_Gra,Fagu gran,Fagus grandifolia,Am beech,American beech,American beech leading,,Fagu_Gra,TRUE,Deciduous,beech,,,,,,FAGU_GRA,HEG,2000,
fraxamer,FRAX.AME,Frax_ame,Frax_Ame,Frax amer,Fraxinus americana,Am ash,American ash,American ash leading,,Frax_Ame,TRUE,Deciduous,white ash,,,,,,FRAX_AME,FRA,3401,
,,Frax_lat,,Frax lati,Fraxinus latifolia,,,,,,TRUE,Deciduous,,,,,,,FRAX_LAT,,3400,generic ash code
,,Frax_nig,Frax_Nig,Frax nigr,Fraxinus nigra,Bl ash,Black ash,Black ash leading,,Frax_Nig,TRUE,Deciduous,black ash,,,,,,FRAX_NIG,FRN,3402,
,,Frax_pen,Frax_Pen_Sub,Frax penn,Fraxinus pennsylvanica,,,,Fraxinus pennsylvanica subintegerrima is a synonym,,TRUE,Deciduous,red ash,,,,,,FRAX_PEN,FRP,3403,
,,Frax_pen,Frax_Pen,Frax penn,Fraxinus pennsylvanica,,,,,,TRUE,Deciduous,red ash,,,,,,FRAX_PEN,,3403,
,,Frax_pro,,Frax prof,Fraxinus profunda,,,,,,TRUE,Deciduous,,,,,,,FRAX_PRO,,3400,generic ash code
,,Frax_qua,,Frax quad,Fraxinus quadrangulata,,,,,,TRUE,Deciduous,,,,,,,FRAX_QUA,,3400,generic ash code
,,Frax_sp,Frax_Spp,Frax spp,Fraxinus spp.,Ash,Ash,Ash leading,,Frax_Spp,TRUE,Deciduous,,,,,,,FRAX_SP,,3400,
,,Gled_tri,Gled_Tri,Gled tria,Gleditsia triacanthos,,,,,,TRUE,Deciduous,,,,,,,GLED_TRI,,2900,
,,Gymn_dio,,Gymn dioi,Gymnocladus dioicus,,,,,,TRUE,Deciduous,,,,,,,GYMN_DIO,,1500,other hardwood code
,,Hana_vir,,Hana virg,Hamamelis virginiana,,,,,,TRUE,Deciduous,,,,,,,HANA_VIR,,1500,other hardwood code
,,Jugl_cin,Jugl_Cin,Jugl cine,Juglans cinerea,,,,,,TRUE,Deciduous,,,,,,,JUGL_CIN,NOC,1701,
,,Jugl_nig,Jugl_Nig,Jugl nigr,Juglans nigra,,,,,,TRUE,Deciduous,,,,,,,JUGL_NIG,NON,1702,
